"Name","Price level","Price","Price (String)"
"Einzelfahrkarte HandyTicket","PS 1",1.7,"1,70 €"
"Einzelfahrkarte HandyTicket","PS 2",2.46,"2,46 €"
"Einzelfahrkarte HandyTicket","PS 2+T",3.69,"3,69 €"
"Einzelfahrkarte HandyTicket","PS 3",3.69,"3,69 €"
"Einzelfahrkarte HandyTicket","PS 3+T",4.92,"4,92 €"
"Einzelfahrkarte HandyTicket","PS 4",4.92,"4,92 €"
"Einzelfahrkarte HandyTicket","PS 4+T",4.92,"4,92 €"
"Einzelfahrkarte HandyTicket","PS 5",6.15,"6,15 €"
"Einzelfahrkarte HandyTicket","PS 5+T",6.15,"6,15 €"
"Einzelfahrkarte HandyTicket","PS 6",7.38,"7,38 €"
"Einzelfahrkarte HandyTicket","PS 6+T",7.38,"7,38 €"
"Einzelfahrkarte HandyTicket","PS 7",8.61,"8,61 €"
"Einzelfahrkarte HandyTicket","PS 7+T",8.61,"8,61 €"
"Einzelfahrkarte HandyTicket","PS 8",9.84,"9,84 €"
"Einzelfahrkarte HandyTicket","PS 8+T",9.84,"9,84 €"
"Einzelfahrkarte HandyTicket","PS 9",11.07,"11,07 €"
"Einzelfahrkarte HandyTicket","PS 9+T",11.07,"11,07 €"
"Einzelfahrkarte HandyTicket","PS 10",12.3,"12,30 €"
"Einzelfahrkarte HandyTicket","PS 10+T",12.3,"12,30 €"
"Einzelfahrkarte HandyTicket","PS A",2.75,"2,75 €"
"Einzelfahrkarte HandyTicket","PS B",2.25,"2,25 €"
"Einzelfahrkarte HandyTicket","PS C",2.05,"2,05 €"
"Einzelfahrkarte HandyTicket","PS D",1.7,"1,70 €"
"Einzelfahrkarte HandyTicket","PS F",1.25,"1,25 €"
"Einzelfahrkarte HandyTicket","PS K",1.45,"1,45 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 1",0.85,"0,85 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 2",1.22,"1,22 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 2+T",1.83,"1,83 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 3",1.83,"1,83 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 3+T",2.44,"2,44 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 4",2.44,"2,44 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 4+T",2.44,"2,44 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 5",3.05,"3,05 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 5+T",3.05,"3,05 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 6",3.66,"3,66 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 6+T",3.66,"3,66 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 7",4.27,"4,27 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 7+T",4.27,"4,27 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 8",4.88,"4,88 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 8+T",4.88,"4,88 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 9",5.49,"5,49 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 9+T",5.49,"5,49 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 10",6.1,"6,10 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS 10+T",6.1,"6,10 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS A",1.37,"1,37 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS B",1.12,"1,12 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS C",1.02,"1,02 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS D",0.85,"0,85 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS F",0.62,"0,62 €"
"Einzelfahrkarte HandyTicket ermäßigt","PS K",0.72,"0,72 €"
"Einzelfahrkarte","PS 1",2,"2,00 €"
"Einzelfahrkarte","PS 2",2.6,"2,60 €"
"Einzelfahrkarte","PS 2+T",3.7,"3,70 €"
"Einzelfahrkarte","PS 3",3.7,"3,70 €"
"Einzelfahrkarte","PS 3+T",5,"5,00 €"
"Einzelfahrkarte","PS 4",5,"5,00 €"
"Einzelfahrkarte","PS 4+T",5,"5,00 €"
"Einzelfahrkarte","PS 5",6.2,"6,20 €"
"Einzelfahrkarte","PS 5+T",6.2,"6,20 €"
"Einzelfahrkarte","PS 6",7.4,"7,40 €"
"Einzelfahrkarte","PS 6+T",7.4,"7,40 €"
"Einzelfahrkarte","PS 7",8.7,"8,70 €"
"Einzelfahrkarte","PS 7+T",8.7,"8,70 €"
"Einzelfahrkarte","PS 8",9.9,"9,90 €"
"Einzelfahrkarte","PS 8+T",9.9,"9,90 €"
"Einzelfahrkarte","PS 9",11.1,"11,10 €"
"Einzelfahrkarte","PS 9+T",11.1,"11,10 €"
"Einzelfahrkarte","PS 10",12.3,"12,30 €"
"Einzelfahrkarte","PS 10+T",12.3,"12,30 €"
"Einzelfahrkarte","PS A",3.2,"3,20 €"
"Einzelfahrkarte","PS B",2.6,"2,60 €"
"Einzelfahrkarte","PS C",2.4,"2,40 €"
"Einzelfahrkarte","PS D",2,"2,00 €"
"Einzelfahrkarte","PS F",1.3,"1,30 €"
"Einzelfahrkarte","PS K",1.7,"1,70 €"
"Einzelfahrkarte ermäßigt","PS 1",1,"1,00 €"
"Einzelfahrkarte ermäßigt","PS 2",1.3,"1,30 €"
"Einzelfahrkarte ermäßigt","PS 2+T",1.9,"1,90 €"
"Einzelfahrkarte ermäßigt","PS 3",1.9,"1,90 €"
"Einzelfahrkarte ermäßigt","PS 3+T",2.5,"2,50 €"
"Einzelfahrkarte ermäßigt","PS 4",2.5,"2,50 €"
"Einzelfahrkarte ermäßigt","PS 4+T",2.5,"2,50 €"
"Einzelfahrkarte ermäßigt","PS 5",3.1,"3,10 €"
"Einzelfahrkarte ermäßigt","PS 5+T",3.1,"3,10 €"
"Einzelfahrkarte ermäßigt","PS 6",3.7,"3,70 €"
"Einzelfahrkarte ermäßigt","PS 6+T",3.7,"3,70 €"
"Einzelfahrkarte ermäßigt","PS 7",4.4,"4,40 €"
"Einzelfahrkarte ermäßigt","PS 7+T",4.4,"4,40 €"
"Einzelfahrkarte ermäßigt","PS 8",5,"5,00 €"
"Einzelfahrkarte ermäßigt","PS 8+T",5,"5,00 €"
"Einzelfahrkarte ermäßigt","PS 9",5.6,"5,60 €"
"Einzelfahrkarte ermäßigt","PS 9+T",5.6,"5,60 €"
"Einzelfahrkarte ermäßigt","PS 10",6.1,"6,10 €"
"Einzelfahrkarte ermäßigt","PS 10+T",6.1,"6,10 €"
"Einzelfahrkarte ermäßigt","PS A",1.6,"1,60 €"
"Einzelfahrkarte ermäßigt","PS B",1.3,"1,30 €"
"Einzelfahrkarte ermäßigt","PS C",1.2,"1,20 €"
"Einzelfahrkarte ermäßigt","PS D",1,"1,00 €"
"Einzelfahrkarte ermäßigt","PS F",0.7,"0,70 €"
"Einzelfahrkarte ermäßigt","PS K",0.8,"0,80 €"
"4er-Ticket","PS 1",6.8,"6,80 €"
"4er-Ticket","PS A",11,"11,00 €"
"4er-Ticket","PS B",9,"9,00 €"
"4er-Ticket","PS C",8.2,"8,20 €"
"4er-Ticket","PS D",6.8,"6,80 €"
"4er-Ticket","PS F",5,"5,00 €"
"4er-Ticket","PS K",5.8,"5,80 €"
"4er-Ticket ermäßigt","PS 1",3.4,"3,40 €"
"4er-Ticket ermäßigt","PS A",5.5,"5,50 €"
"4er-Ticket ermäßigt","PS B",4.5,"4,50 €"
"4er-Ticket ermäßigt","PS C",4.1,"4,10 €"
"4er-Ticket ermäßigt","PS D",3.4,"3,40 €"
